run	sample_name	spots
SRR6498958	GSM2938660	108546297
SRR6498959	GSM2938661	90024471
SRR6498960	GSM2938662	111500101
SRR6498961	GSM2938663	106145716
SRR6498962	GSM2938664	135456782
SRR6498963	GSM2938665	112230727
SRR6498964	GSM2938666	122917169
SRR6498965	GSM2938667	110987316
SRR6498966	GSM2938668	89728075
SRR6498967	GSM2938669	105264815
SRR6498968	GSM2938670	152965717
SRR6498969	GSM2938671	110154264
SRR6498970	GSM2938672	193946231
SRR6498971	GSM2938673	130126290
SRR6498972	GSM2938674	93785743
SRR6498973	GSM2938675	101580755
SRR6498974	GSM2938676	100153838
SRR6498975	GSM2938677	91599101
SRR6498976	GSM2938678	99888284
SRR6498977	GSM2938679	101923428
SRR6498978	GSM2938680	102077081
SRR6498979	GSM2938681	139233987
SRR6498980	GSM2938682	114245497
SRR6498981	GSM2938683	106716305
SRR6498982	GSM2938684	104415047
SRR6498983	GSM2938685	152507699
SRR6498984	GSM2938686	105721444
SRR6498985	GSM2938687	162626681
SRR6498986	GSM2938688	92230272
SRR6498987	GSM2938689	104148351
SRR6498988	GSM2938690	145241190
SRR6498989	GSM2938691	118914921
SRR6498990	GSM2938692	74598252
SRR6498991	GSM2938693	75229202
SRR6498992	GSM2938694	110157189
SRR6498993	GSM2938695	112766449
SRR6498994	GSM2938696	76556234
SRR6498995	GSM2938697	89802576
SRR6498996	GSM2938698	152597764
SRR6498997	GSM2938699	109764928
SRR6498998	GSM2938700	89540615
SRR6498999	GSM2938701	104320992
SRR6499000	GSM2938702	107821305
SRR6499001	GSM2938703	97011903
SRR6499002	GSM2938704	175179680
SRR6499003	GSM2938705	125074857
SRR6499004	GSM2938706	129794925
SRR6499005	GSM2938707	110427456
SRR6499006	GSM2938708	55891115
SRR6499007	GSM2938709	86316980
SRR6499008	GSM2938710	99539839
SRR6499009	GSM2938711	81913004
SRR6499010	GSM2938712	75945683
SRR6499011	GSM2938713	103719407
SRR6499012	GSM2938714	98350797
SRR6499013	GSM2938715	96119221
SRR6499014	GSM2938716	129121175
SRR6499015	GSM2938717	83727263
SRR6499016	GSM2938718	93984322
SRR6499017	GSM2938719	94287265
SRR6499018	GSM2938720	61117404
SRR6499019	GSM2938721	40156885
SRR6499020	GSM2938722	58594536
SRR6499021	GSM2938723	54267645
SRR6499022	GSM2938724	54524936
SRR6499023	GSM2938725	35191365
SRR6499024	GSM2938726	58561292
SRR6499025	GSM2938727	65275392
SRR6499026	GSM2938728	32877975
SRR6499027	GSM2938729	34254988
SRR6499028	GSM2938730	29210013
SRR6499029	GSM2938731	32356505
SRR6499030	GSM2938732	31552665
SRR6499031	GSM2938733	31175688
SRR6499032	GSM2938734	71407965
SRR6499033	GSM2938735	66941205
SRR6499034	GSM2938736	32430254
SRR6499035	GSM2938737	85267699
SRR6499036	GSM2938738	50396827
SRR6499037	GSM2938739	54004580
SRR6499038	GSM2938740	38016531
SRR6499039	GSM2938741	29434688
SRR6499040	GSM2938742	30466339
SRR6499041	GSM2938743	62345684
SRR6499042	GSM2938744	63251646
SRR6499043	GSM2938745	33689328
SRR6499044	GSM2938746	39038896
SRR6499045	GSM2938747	30344592
